date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,obos_main,Dealer_Hedging,Dealer_self,Foreign_Investor,Investment_Trust
2024-03-26,1476,963019,525367290,542.0,549.0,542.0,545.0,4.0,832,1085659.0,-93.0,-14000.0,-289250.0,-14382.0
2024-03-27,1476,440359,242079941,545.0,551.0,544.0,551.0,6.0,533,576878.0,-3423.0,-19000.0,-129.0,19000.0
2024-03-28,1476,504374,277524266,547.0,554.0,547.0,547.0,-4.0,544,483764.0,94.0,-3000.0,-242633.0,120758.0
2024-03-29,1476,355595,196978588,547.0,558.0,547.0,553.0,6.0,496,458821.0,-79.0,-20000.0,30500.0,19159.0
2024-04-01,1476,430150,234742806,557.0,558.0,541.0,543.0,-10.0,918,558695.0,1.0,19000.0,-43986.0,-93551.0
2024-04-02,1476,360164,196653228,550.0,550.0,543.0,549.0,6.0,405,459079.0,-71.0,6000.0,66273.0,-1256.0
2024-04-03,1476,471623,258063278,551.0,551.0,544.0,546.0,-3.0,600,728002.0,-1608.0,85000.0,92330.0,-6410.0
2024-04-08,1476,718279,391789860,546.0,550.0,543.0,545.0,-1.0,973,691626.0,-449.0,39000.0,-153042.0,-4269.0
2024-04-09,1476,426716,232356534,544.0,548.0,540.0,545.0,0.0,619,523908.0,1638.0,-48000.0,-41350.0,-2476.0
2024-04-10,1476,405936,224167964,545.0,555.0,545.0,554.0,9.0,662,386103.0,-73.0,5000.0,-21390.0,-30283.0
2024-04-11,1476,776415,420705840,541.0,550.0,538.0,538.0,0.0,977,645390.0,1187.0,18000.0,-192000.0,84000.0
2024-04-12,1476,1034304,550209029,536.0,542.0,527.0,527.0,-11.0,1762,853441.0,250.0,2000.0,-268913.0,-119033.0
2024-04-15,1476,670959,346703451,526.0,527.0,513.0,513.0,-14.0,1320,617160.0,-1041.0,-12000.0,-330024.0,-6758.0
2024-04-16,1476,469834,237759538,512.0,512.0,503.0,505.0,-8.0,1102,458051.0,-44.0,-36000.0,-182102.0,20000.0
2024-04-17,1476,1803614,892869471,505.0,506.0,487.0,495.0,-10.0,2960,1221468.0,-214.0,-39000.0,-328652.0,-210083.0
2024-04-18,1476,936495,462400462,495.5,502.0,485.0,500.0,5.0,1225,745907.0,-2302.0,19000.0,-27176.0,35000.0
2024-04-19,1476,1332263,652499536,491.0,499.5,486.0,487.0,-13.0,2003,1049154.0,-3412.0,-89000.0,-224364.0,50000.0
2024-04-22,1476,1497020,745630694,494.5,505.0,487.5,498.0,11.0,1635,1993386.0,-1133.0,-15000.0,-332.0,76000.0
2024-04-23,1476,881366,444789455,503.0,508.0,499.0,505.0,7.0,985,1032581.0,-1566.0,999.0,-273076.0,24088.0
2024-04-24,1476,968545,496440191,511.0,519.0,506.0,511.0,6.0,1054,997955.0,383.0,11000.0,-74296.0,2341.0
2024-04-25,1476,533795,272340921,510.0,514.0,503.0,511.0,0.0,673,592325.0,1.0,7000.0,-77891.0,3000.0
2024-04-26,1476,759557,389771249,512.0,518.0,509.0,512.0,1.0,917,897498.0,-106.0,0.0,-107205.0,0.0
2024-04-29,1476,571430,295436070,519.0,520.0,514.0,519.0,7.0,777,587823.0,2995.0,-26842.0,-6225.0,0.0
2024-04-30,1476,406917,210435844,516.0,521.0,514.0,515.0,-4.0,508,442613.0,-25.0,3000.0,80514.0,-20758.0
2024-05-02,1476,1060444,529018399,511.0,512.0,494.0,495.0,-20.0,2418,888020.0,983.0,21711.0,-354611.0,2422.0
2024-05-03,1476,625864,310721939,500.0,504.0,494.0,495.0,0.0,960,651086.0,-631.0,5000.0,-181543.0,-64148.0
2024-05-06,1476,511298,254366234,500.0,501.0,495.5,497.5,2.5,933,496821.0,1661.0,-7000.0,-131420.0,12993.0
2024-05-07,1476,992390,485676908,499.0,499.5,486.0,490.5,-7.0,2124,911022.0,1179.0,-33000.0,-270519.0,-23309.0
2024-05-08,1476,295529,144651887,491.0,493.0,487.0,490.5,0.0,786,337395.0,-1399.0,-3000.0,-74693.0,-752.0
2024-05-09,1476,502181,244350196,490.5,492.0,485.0,485.0,-5.5,1512,590491.0,760.0,2000.0,-285638.0,-28256.0
2024-05-10,1476,306033,148763342,488.5,489.0,483.0,488.0,3.0,850,379215.0,2641.0,-12000.0,-62807.0,-1190.0
2024-05-13,1476,268040,130513366,486.5,489.0,484.0,487.0,-1.0,586,203625.0,-609.0,1000.0,-70101.0,-104.0
2024-05-14,1476,319313,156292789,489.0,491.0,487.5,490.0,3.0,690,196939.0,-127.0,-37000.0,-35944.0,-879.0
2024-05-15,1476,411121,202312563,492.0,497.0,489.0,490.0,0.0,730,341369.0,652.0,-63000.0,-4108.0,-19789.0
2024-05-16,1476,378852,185693793,496.0,496.0,487.5,487.5,-2.5,840,404522.0,-1810.0,3000.0,-51186.0,-51342.0
2024-05-17,1476,466218,226967713,487.0,490.0,485.0,487.0,-0.5,934,394197.0,2041.0,3000.0,-152899.0,20196.0
2024-05-20,1476,525059,254028619,487.0,487.0,482.0,482.5,-4.5,1183,563961.0,-172.0,19000.0,-103600.0,-3754.0
2024-05-21,1476,1144976,539470824,481.0,481.0,466.0,466.0,-16.5,3900,1067816.0,905.0,-51000.0,-649490.0,-14105.0
2024-05-22,1476,1020375,476743859,468.0,474.0,465.0,466.0,0.0,1998,1339236.0,-475.0,-20000.0,-265289.0,-2355.0
2024-05-23,1476,1352124,641409656,461.5,481.5,461.0,476.5,10.5,1840,984443.0,-2275.0,108000.0,-375641.0,-86528.0
2024-05-24,1476,2570554,1261037316,491.0,501.0,486.5,487.5,11.0,2724,2022745.0,-736.0,-2000.0,-691656.0,65196.0
2024-05-27,1476,1407422,676738453,488.5,488.5,474.5,478.0,-9.5,2380,1539355.0,1352.0,4000.0,-483122.0,25216.0
2024-05-28,1476,622608,301849835,478.5,487.5,478.5,486.5,8.5,899,634869.0,-1080.0,2000.0,-141250.0,72624.0
2024-05-29,1476,1079335,525326301,480.5,491.0,480.5,485.0,-1.5,1325,1368625.0,609.0,29000.0,-464219.0,23467.0
2024-05-30,1476,555347,267367765,480.0,484.5,477.0,482.0,-3.0,828,581185.0,-313.0,5000.0,-150591.0,0.0
2024-05-31,1476,1168975,569039446,482.0,491.0,482.0,485.0,3.0,1069,1122761.0,742.0,5452.0,-225405.0,35437.0
2024-06-03,1476,755508,373186496,488.0,495.5,488.0,495.0,10.0,972,593510.0,0.0,30000.0,152361.0,42000.0
2024-06-04,1476,854160,422403178,489.0,498.0,487.0,491.5,-3.5,1158,953315.0,-753.0,10404.0,-423654.0,-16000.0
2024-06-05,1476,854554,428513170,497.0,505.0,495.5,499.5,8.0,1338,873058.0,-1010.0,4990.0,-154702.0,18000.0
2024-06-06,1476,1850682,961361206,507.0,525.0,507.0,524.0,24.5,2778,1551029.0,796.0,36000.0,505597.0,268276.0
2024-06-07,1476,3214946,1746693681,526.0,557.0,526.0,551.0,27.0,4409,2422035.0,-308.0,29000.0,799032.0,144596.0
2024-06-11,1476,1239696,672811437,543.0,551.0,538.0,539.0,-12.0,1890,927335.0,-2340.0,-5000.0,81897.0,53729.0
